Date,Category,Internal SKU,City,State,Region,Units,GMV,Platform,,date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
31/10/2025,Discontinue,Discontinue,Gurgaon,Haryana,Delhi NCR,1,1599,Big Basket,,20251001 - 20251031,Gurgaon,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357176,Chaayos green-festival-gift-box-set-with-tea-snacks 1 pc,1 pc,1,1599,1499
31/10/2025,Chai Patti,Chaayos Adrak Elaichi 250g,Mumbai,Maharashtra,West,32,9568,Big Basket,,20251001 - 20251031,Mumbai,Chaayos,beverages,tea,leaf-dust-tea,40348266,Chaayos adrakh-elaichi-instant-chai-tea 250 g,250 g,32,9568,9254.05
31/10/2025,Premix,Chaayos Adrak Elaichi Premix Pack of 15,Hyderabad,Telangana,South,23,4807,Big Basket,,20251001 - 20251031,Hyderabad,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,23,4807,4111.39
31/10/2025,Chai Patti,Chaayos Masala Tea 100g,Chennai,Tamil Nadu,South,4,796,Big Basket,,20251001 - 20251031,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,4,796,496.8
31/10/2025,Tea Bag,Chaayos Masala Tea Bag,Coimbatore,Tamil Nadu,South,2,318,Big Basket,,20251001 - 20251031,Coimbatore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,2,318,318
31/10/2025,Tea Bag,Chaayos Masala Tea Bag,Hyderabad,Telangana,South,12,2148,Big Basket,,20251001 - 20251031,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,12,2148,1838.3
31/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Pune,Maharashtra,West,2,212,Big Basket,,20251001 - 20251031,Pune,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348264,Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10),220 g,2,212,198
31/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Gurgaon,Haryana,Delhi NCR,1,189,Big Basket,,20251001 - 20251031,Gurgaon,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,1,189,179
31/10/2025,Discontinue,Discontinue,Noida,Uttar Pradesh,Delhi NCR,2,3198,Big Basket,,20251001 - 20251031,Noida,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357176,Chaayos green-festival-gift-box-set-with-tea-snacks 1 pc,1 pc,2,3198,2998
31/10/2025,Premix,Chaayos Adrak Elaichi Premix Pack of 15,Mumbai,Maharashtra,West,34,7106,Big Basket,,20251001 - 20251031,Mumbai,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,34,7106,6471.42
31/10/2025,Discontinue,Discontinue,Mumbai,Maharashtra,West,5,1875,Big Basket,,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,5,1875,1421
31/10/2025,Chai Patti,Chaayos Adrak Elaichi 250g,Pune,Maharashtra,West,1,200,Big Basket,,20251001 - 20251031,Pune,Chaayos,beverages,tea,leaf-dust-tea,40348266,Chaayos adrakh-elaichi-instant-chai-tea 250 g,250 g,1,200,200
31/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Mumbai,Maharashtra,West,14,5250,Big Basket,,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,14,5250,2506
31/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Bangalore,Karnataka,South,30,3570,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348264,Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10),220 g,30,3570,2770.12
30/11/2025,Tea Bag,Chaayos Detox Kahwa Tea Bag,Hyderabad,Telangana,South,19,3971,Big Basket,,20251101 - 20251130,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,19,3971,3596.15
30/11/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Bangalore,Karnataka,South,4,1500,Big Basket,,20251101 - 20251130,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,4,1500,1425
30/11/2025,Tea Bag,Chaayos Masala Tea Bag,Bangalore,Karnataka,South,39,7441,Big Basket,,20251101 - 20251130,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,39,7441,5811
30/11/2025,Premix,Chaayos Combo Premix Pack of 12,Ahmedabad,Gujarat,West,2,338,Big Basket,,20251101 - 20251130,Ahmedabad-Gandhinagar,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,2,338,317.72
30/11/2025,Chai Patti,Chaayos Masala Tea 250g,Gurgaon,Haryana,Delhi NCR,8,2632,Big Basket,,20251101 - 20251130,Gurgaon,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,8,2632,2232
30/11/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Mumbai,Maharashtra,West,2,378,Big Basket,,20251101 - 20251130,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,2,378,321.3
30/11/2025,Tea Bag,Chaayos Masala Tea Bag,Bangalore,Karnataka,South,1,199,Big Basket,,20251101 - 20251130,Bangalore Rural,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,1,199,149
30/11/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Mumbai,Maharashtra,West,2,398,Big Basket,,20251101 - 20251130,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194559,Chaayos tea-blendchai-adrak-elaichi-premium-flavoured 100 g,100 g,2,398,398
30/11/2025,Chai Patti,Chaayos Masala Tea 250g,Bangalore,Karnataka,South,46,15134,Big Basket,,20251101 - 20251130,Bangalore,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,46,15134,12834
30/11/2025,Chai Patti,Chaayos Masala Tea 100g,Mysore,Karnataka,South,1,199,Big Basket,,20251101 - 20251130,Mysore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,1,199,129
