start_date,end_date,date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,BB_identifier,sku_description,sku_weight,total_quantity,total_mrp,total_sales,internal_id,internal_name,Category
2025-11-01,2025-11-30,20251101 - 20251130,Coimbatore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,3,477,433.15,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-11-01,2025-11-30,20251101 - 20251130,Mumbai,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357177,Chaayos pink-festival-gift-box-set-with-tea-snacks 1 pc  (Set of 5),1 pc,1,999,899.0,,Discontinue,Discontinue
2025-11-01,2025-11-30,20251101 - 20251130,Mumbai,Chaayos,beverages,tea,leaf-dust-tea,40348266,Chaayos adrakh-elaichi-instant-chai-tea 250 g,250 g,23,6877,6279.0,5751.0,Chaayos Adrak Elaichi 250g,Chai Patti
2025-11-01,2025-11-30,20251101 - 20251130,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,8,1200,1137.0,5753.0,Chaayos Combo Premix Pack of 12,Premix
2025-11-01,2025-11-30,20251101 - 20251130,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,3,597,387.0,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-11-01,2025-11-30,20251101 - 20251130,Hyderabad,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,31,6479,5874.25,5742.0,Chaayos Adrak Elaichi Premix Pack of 15,Premix
2025-11-01,2025-11-30,20251101 - 20251130,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,2,750,712.5,,Discontinue,Discontinue
2025-11-01,2025-11-30,20251101 - 20251130,Ahmedabad-Gandhinagar,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357178,Chaayos festival-gift-box-masala-adrak-elaichi-chai 200 g  (2x100 g),200 g,1,649,599.0,,Discontinue,Discontinue
2025-11-01,2025-11-30,20251101 - 20251130,Pune,Chaayos,beverages,tea,leaf-dust-tea,40348266,Chaayos adrakh-elaichi-instant-chai-tea 250 g,250 g,7,1400,1300.0,5751.0,Chaayos Adrak Elaichi 250g,Chai Patti
2025-11-01,2025-11-30,20251101 - 20251130,Mangaluru,Chaayos,beverages,tea,leaf-dust-tea,40348266,Chaayos adrakh-elaichi-instant-chai-tea 250 g,250 g,1,299,269.1,5751.0,Chaayos Adrak Elaichi 250g,Chai Patti
2025-11-01,2025-11-30,20251101 - 20251130,Mysore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,1,169,143.65,5753.0,Chaayos Combo Premix Pack of 12,Premix
2025-11-01,2025-11-30,20251101 - 20251130,Mumbai,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,23,4807,4506.2,5742.0,Chaayos Adrak Elaichi Premix Pack of 15,Premix
